Gene 1 ID,Gene 2 ID,Score
ENSG00000161958,ENSG00000128422,1.0
ENSG00000076604,ENSG00000076604,1.0
ENSG00000076604,ENSG00000178691,1.0
ENSG00000128422,ENSG00000108518,1.0
ENSG00000128422,ENSG00000186832,1.0
ENSG00000178691,ENSG00000178691,1.0
ENSG00000178691,ENSG00000177374,1.0
ENSG00000091640,ENSG00000091640,1.0
ENSG00000108468,ENSG00000108468,1.0
ENSG00000177374,ENSG00000177374,1.0
ENSG00000141456,ENSG00000141510,1.0
ENSG00000198242,ENSG00000141510,1.0
ENSG00000213859,ENSG00000213859,1.0
ENSG00000173805,ENSG00000173805,1.0
ENSG00000154803,ENSG00000170296,1.0
ENSG00000070444,ENSG00000070444,1.0
ENSG00000170296,ENSG00000170296,1.0
ENSG00000170296,ENSG00000004975,1.0
ENSG00000181481,ENSG00000181481,1.0
ENSG00000141510,ENSG00000141510,1.0
ENSG00000141510,ENSG00000004975,1.0
ENSG00000174292,ENSG00000174292,1.0
ENSG00000004975,ENSG00000004975,1.0
ENSG00000133028,ENSG00000133028,1.0
