Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
CALM3,ESR1,Q96HY3,H0Y4W6
CALM3,ESR1,E7ETZ0,H0Y4W6
CALM3,ESR1,H0Y7A7,H0Y4W6
CALM3,ESR1,P0DP25,H0Y4W6
CALM3,CALM3,Q96HY3,E7ETZ0
CALM3,CALM3,E7ETZ0,E7ETZ0
CALM3,CALM3,H0Y7A7,E7ETZ0
CALM3,CALM3,P0DP25,E7ETZ0
CALM3,CALM3,Q96HY3,H0Y7A7
CALM3,CALM3,E7ETZ0,H0Y7A7
CALM3,CALM3,H0Y7A7,H0Y7A7
CALM3,CALM3,P0DP25,H0Y7A7
CALM3,CALM3,Q96HY3,Q96HY3
CALM3,CALM3,E7ETZ0,Q96HY3
CALM3,CALM3,H0Y7A7,Q96HY3
CALM3,CALM3,P0DP25,Q96HY3
CALM3,CALM1,Q96HY3,E7ETZ0
CALM3,CALM1,E7ETZ0,E7ETZ0
CALM3,CALM1,H0Y7A7,E7ETZ0
CALM3,CALM1,P0DP25,E7ETZ0
CALM3,CALM1,Q96HY3,H0Y7A7
CALM3,CALM1,E7ETZ0,H0Y7A7
CALM3,CALM1,H0Y7A7,H0Y7A7
CALM3,CALM1,P0DP25,H0Y7A7
CALM3,CALM1,Q96HY3,Q96HY3
CALM3,CALM1,E7ETZ0,Q96HY3
CALM3,CALM1,H0Y7A7,Q96HY3
CALM3,CALM1,P0DP25,Q96HY3
CALM3,CALM2,Q96HY3,E7ETZ0
CALM3,CALM2,E7ETZ0,E7ETZ0
CALM3,CALM2,H0Y7A7,E7ETZ0
CALM3,CALM2,P0DP25,E7ETZ0
CALM3,CALM2,Q96HY3,H0Y7A7
CALM3,CALM2,E7ETZ0,H0Y7A7
CALM3,CALM2,H0Y7A7,H0Y7A7
CALM3,CALM2,P0DP25,H0Y7A7
CALM3,CALM2,Q96HY3,Q96HY3
CALM3,CALM2,E7ETZ0,Q96HY3
CALM3,CALM2,H0Y7A7,Q96HY3
CALM3,CALM2,P0DP25,Q96HY3
CALM3,CALM1,Q96HY3,P0DP23
CALM3,CALM1,E7ETZ0,P0DP23
CALM3,CALM1,H0Y7A7,P0DP23
CALM3,CALM1,P0DP25,P0DP23
CALM3,CALM1,Q96HY3,G3V361
CALM3,CALM1,E7ETZ0,G3V361
CALM3,CALM1,H0Y7A7,G3V361
CALM3,CALM1,P0DP25,G3V361
CALM3,CALM3,Q96HY3,P0DP25
CALM3,CALM3,E7ETZ0,P0DP25
CALM3,CALM3,H0Y7A7,P0DP25
CALM3,CALM3,P0DP25,P0DP25
CALM3,CALM2,Q96HY3,P0DP24
CALM3,CALM2,E7ETZ0,P0DP24
CALM3,CALM2,H0Y7A7,P0DP24
CALM3,CALM2,P0DP25,P0DP24
CALM3,CALM2,Q96HY3,E7EMB3
CALM3,CALM2,E7ETZ0,E7EMB3
CALM3,CALM2,H0Y7A7,E7EMB3
CALM3,CALM2,P0DP25,E7EMB3
CALM3,CALM3,Q96HY3,M0QZ52
CALM3,CALM3,P0DP25,M0QZ52
CALM3,CALM1,Q96HY3,M0QZ52
CALM3,CALM1,P0DP25,M0QZ52
CALM3,CALM2,Q96HY3,M0QZ52
CALM3,CALM2,P0DP25,M0QZ52
CALM3,MYO6,Q96HY3,E7EW20
CALM3,MYO6,E7ETZ0,E7EW20
CALM3,MYO6,H0Y7A7,E7EW20
CALM3,MYO6,P0DP25,E7EW20
CALM3,MYO6,Q96HY3,Q9UM54-2
CALM3,MYO6,E7ETZ0,Q9UM54-2
CALM3,MYO6,H0Y7A7,Q9UM54-2
CALM3,MYO6,P0DP25,Q9UM54-2
CALM3,MYO6,Q96HY3,Q9UM54
CALM3,MYO6,E7ETZ0,Q9UM54
CALM3,MYO6,H0Y7A7,Q9UM54
CALM3,MYO6,P0DP25,Q9UM54
CALM3,MYO6,Q96HY3,Q9UM54-1
CALM3,MYO6,E7ETZ0,Q9UM54-1
CALM3,MYO6,H0Y7A7,Q9UM54-1
CALM3,MYO6,P0DP25,Q9UM54-1
CALM3,MYO6,Q96HY3,A0A0D9SGC1
CALM3,MYO6,E7ETZ0,A0A0D9SGC1
CALM3,MYO6,H0Y7A7,A0A0D9SGC1
CALM3,MYO6,P0DP25,A0A0D9SGC1
CALM3,MYO6,Q96HY3,A0A0A0MRM8
CALM3,MYO6,E7ETZ0,A0A0A0MRM8
CALM3,MYO6,H0Y7A7,A0A0A0MRM8
CALM3,MYO6,P0DP25,A0A0A0MRM8
CALM3,SLC9A1,Q96HY3,P19634
CALM3,SLC9A1,E7ETZ0,P19634
CALM3,SLC9A1,H0Y7A7,P19634
CALM3,SLC9A1,P0DP25,P19634
CALM3,TRPV6,Q96HY3,A0A1X7SBT1
CALM3,TRPV6,E7ETZ0,A0A1X7SBT1
CALM3,TRPV6,H0Y7A7,A0A1X7SBT1
CALM3,TRPV6,P0DP25,A0A1X7SBT1
CALM3,TRPV6,Q96HY3,Q9H1D0
CALM3,TRPV6,E7ETZ0,Q9H1D0
CALM3,TRPV6,H0Y7A7,Q9H1D0
CALM3,TRPV6,P0DP25,Q9H1D0
CALM3,KCNN2,Q96HY3,Q9H2S1-2
CALM3,KCNN2,E7ETZ0,Q9H2S1-2
CALM3,KCNN2,H0Y7A7,Q9H2S1-2
CALM3,KCNN2,P0DP25,Q9H2S1-2
CALM3,KCNN2,Q96HY3,Q9H2S1
CALM3,KCNN2,E7ETZ0,Q9H2S1
CALM3,KCNN2,H0Y7A7,Q9H2S1
CALM3,KCNN2,P0DP25,Q9H2S1
CALM3,KCNN2,Q96HY3,A0A0J9YW81
CALM3,KCNN2,E7ETZ0,A0A0J9YW81
CALM3,KCNN2,H0Y7A7,A0A0J9YW81
CALM3,KCNN2,P0DP25,A0A0J9YW81
CALM3,MYO1C,Q96HY3,O00159
CALM3,MYO1C,E7ETZ0,O00159
CALM3,MYO1C,H0Y7A7,O00159
CALM3,MYO1C,P0DP25,O00159
CALM3,MYO1C,Q96HY3,O00159-2
CALM3,MYO1C,E7ETZ0,O00159-2
CALM3,MYO1C,H0Y7A7,O00159-2
CALM3,MYO1C,P0DP25,O00159-2
CALM3,MYO1C,Q96HY3,O00159-3
CALM3,MYO1C,E7ETZ0,O00159-3
CALM3,MYO1C,H0Y7A7,O00159-3
CALM3,MYO1C,P0DP25,O00159-3
CALM3,MYO1C,Q96HY3,F5H6E2
CALM3,MYO1C,E7ETZ0,F5H6E2
CALM3,MYO1C,H0Y7A7,F5H6E2
CALM3,MYO1C,P0DP25,F5H6E2
CALM3,MYO10,Q96HY3,Q9HD67
CALM3,MYO10,E7ETZ0,Q9HD67
CALM3,MYO10,H0Y7A7,Q9HD67
CALM3,MYO10,P0DP25,Q9HD67
CALM3,MYO10,Q96HY3,D6RGD1
CALM3,MYO10,E7ETZ0,D6RGD1
CALM3,MYO10,H0Y7A7,D6RGD1
CALM3,MYO10,P0DP25,D6RGD1
CALM3,MYO10,Q96HY3,A0A0A0MQX1
CALM3,MYO10,E7ETZ0,A0A0A0MQX1
CALM3,MYO10,H0Y7A7,A0A0A0MQX1
CALM3,MYO10,P0DP25,A0A0A0MQX1
CALM3,MYO10,Q96HY3,E9PEW5
CALM3,MYO10,E7ETZ0,E9PEW5
CALM3,MYO10,H0Y7A7,E9PEW5
CALM3,MYO10,P0DP25,E9PEW5
CALM3,MYO1C,Q96HY3,I3L3Y6
CALM3,MYO1C,P0DP25,I3L3Y6
CALM3,MYO1C,Q96HY3,I3L501
CALM3,MYO1C,P0DP25,I3L501
CALM3,MYO1C,Q96HY3,I3L3F5
CALM3,MYO1C,P0DP25,I3L3F5
CALM3,CACNA1C,Q96HY3,Q13936-27
CALM3,CACNA1C,E7ETZ0,Q13936-27
CALM3,CACNA1C,H0Y7A7,Q13936-27
CALM3,CACNA1C,P0DP25,Q13936-27
CALM3,CACNA1C,Q96HY3,Q13936
CALM3,CACNA1C,E7ETZ0,Q13936
CALM3,CACNA1C,H0Y7A7,Q13936
CALM3,CACNA1C,P0DP25,Q13936
CALM3,CACNA1D,Q96HY3,A0A1W2PQ56
CALM3,CACNA1D,E7ETZ0,A0A1W2PQ56
CALM3,CACNA1D,H0Y7A7,A0A1W2PQ56
CALM3,CACNA1D,P0DP25,A0A1W2PQ56
CALM3,CACNA1D,Q96HY3,A0A1B0GUB6
CALM3,CACNA1D,E7ETZ0,A0A1B0GUB6
CALM3,CACNA1D,H0Y7A7,A0A1B0GUB6
CALM3,CACNA1D,P0DP25,A0A1B0GUB6
CALM3,CACNA1D,Q96HY3,Q01668-2
CALM3,CACNA1D,E7ETZ0,Q01668-2
CALM3,CACNA1D,H0Y7A7,Q01668-2
CALM3,CACNA1D,P0DP25,Q01668-2
CALM3,CACNA1D,Q96HY3,Q01668
CALM3,CACNA1D,E7ETZ0,Q01668
CALM3,CACNA1D,H0Y7A7,Q01668
CALM3,CACNA1D,P0DP25,Q01668
CALM3,CACNA1C,Q96HY3,F5GY28
CALM3,CACNA1C,E7ETZ0,F5GY28
CALM3,CACNA1C,H0Y7A7,F5GY28
CALM3,CACNA1C,P0DP25,F5GY28
CALM3,CACNA1C,Q96HY3,E9PDI6
CALM3,CACNA1C,E7ETZ0,E9PDI6
CALM3,CACNA1C,H0Y7A7,E9PDI6
CALM3,CACNA1C,P0DP25,E9PDI6
CALM3,CACNA1C,Q96HY3,Q13936-11
CALM3,CACNA1C,E7ETZ0,Q13936-11
CALM3,CACNA1C,H0Y7A7,Q13936-11
CALM3,CACNA1C,P0DP25,Q13936-11
CALM3,CACNA1C,Q96HY3,Q13936-15
CALM3,CACNA1C,E7ETZ0,Q13936-15
CALM3,CACNA1C,H0Y7A7,Q13936-15
CALM3,CACNA1C,P0DP25,Q13936-15
CALM3,CACNA1C,Q96HY3,A0A0A0MSA1
CALM3,CACNA1C,E7ETZ0,A0A0A0MSA1
CALM3,CACNA1C,H0Y7A7,A0A0A0MSA1
CALM3,CACNA1C,P0DP25,A0A0A0MSA1
CALM3,CACNA1D,Q96HY3,Q59GD8
CALM3,CACNA1D,E7ETZ0,Q59GD8
CALM3,CACNA1D,H0Y7A7,Q59GD8
CALM3,CACNA1D,P0DP25,Q59GD8
CALM3,CACNA1C,Q96HY3,Q13936-14
CALM3,CACNA1C,E7ETZ0,Q13936-14
CALM3,CACNA1C,H0Y7A7,Q13936-14
CALM3,CACNA1C,P0DP25,Q13936-14
CALM3,CACNA1C,Q96HY3,Q13936-25
CALM3,CACNA1C,E7ETZ0,Q13936-25
CALM3,CACNA1C,H0Y7A7,Q13936-25
CALM3,CACNA1C,P0DP25,Q13936-25
CALM3,CACNA1C,Q96HY3,Q13936-22
CALM3,CACNA1C,E7ETZ0,Q13936-22
CALM3,CACNA1C,H0Y7A7,Q13936-22
CALM3,CACNA1C,P0DP25,Q13936-22
CALM3,CACNA1C,Q96HY3,Q13936-29
CALM3,CACNA1C,E7ETZ0,Q13936-29
CALM3,CACNA1C,H0Y7A7,Q13936-29
CALM3,CACNA1C,P0DP25,Q13936-29
CALM3,CACNA1C,Q96HY3,Q13936-37
CALM3,CACNA1C,E7ETZ0,Q13936-37
CALM3,CACNA1C,H0Y7A7,Q13936-37
CALM3,CACNA1C,P0DP25,Q13936-37
CALM3,CACNA1C,Q96HY3,Q13936-30
CALM3,CACNA1C,E7ETZ0,Q13936-30
CALM3,CACNA1C,H0Y7A7,Q13936-30
CALM3,CACNA1C,P0DP25,Q13936-30
CALM3,CACNA1C,Q96HY3,Q13936-20
CALM3,CACNA1C,E7ETZ0,Q13936-20
CALM3,CACNA1C,H0Y7A7,Q13936-20
CALM3,CACNA1C,P0DP25,Q13936-20
CALM3,CACNA1C,Q96HY3,Q13936-24
CALM3,CACNA1C,E7ETZ0,Q13936-24
CALM3,CACNA1C,H0Y7A7,Q13936-24
CALM3,CACNA1C,P0DP25,Q13936-24
CALM3,CACNA1C,Q96HY3,Q13936-32
CALM3,CACNA1C,E7ETZ0,Q13936-32
CALM3,CACNA1C,H0Y7A7,Q13936-32
CALM3,CACNA1C,P0DP25,Q13936-32
CALM3,CACNA1C,Q96HY3,Q13936-31
CALM3,CACNA1C,E7ETZ0,Q13936-31
CALM3,CACNA1C,H0Y7A7,Q13936-31
CALM3,CACNA1C,P0DP25,Q13936-31
CALM3,CACNA1C,Q96HY3,Q13936-21
CALM3,CACNA1C,E7ETZ0,Q13936-21
CALM3,CACNA1C,H0Y7A7,Q13936-21
CALM3,CACNA1C,P0DP25,Q13936-21
CALM3,CACNA1C,Q96HY3,Q13936-23
CALM3,CACNA1C,E7ETZ0,Q13936-23
CALM3,CACNA1C,H0Y7A7,Q13936-23
CALM3,CACNA1C,P0DP25,Q13936-23
CALM3,CACNA1C,Q96HY3,Q13936-12
CALM3,CACNA1C,E7ETZ0,Q13936-12
CALM3,CACNA1C,H0Y7A7,Q13936-12
CALM3,CACNA1C,P0DP25,Q13936-12
CALM3,CACNA1C,Q96HY3,Q13936-13
CALM3,CACNA1C,E7ETZ0,Q13936-13
CALM3,CACNA1C,H0Y7A7,Q13936-13
CALM3,CACNA1C,P0DP25,Q13936-13
CALM3,CACNA1D,Q96HY3,A0A1B0GUN6
CALM3,CACNA1D,E7ETZ0,A0A1B0GUN6
CALM3,CACNA1D,H0Y7A7,A0A1B0GUN6
CALM3,CACNA1D,P0DP25,A0A1B0GUN6
CALM3,CACNA1C,Q96HY3,A0A0A0MR67
CALM3,CACNA1C,E7ETZ0,A0A0A0MR67
CALM3,CACNA1C,H0Y7A7,A0A0A0MR67
CALM3,CACNA1C,P0DP25,A0A0A0MR67
CALM3,CACNA1D,Q96HY3,Q01668-3
CALM3,CACNA1D,E7ETZ0,Q01668-3
CALM3,CACNA1D,H0Y7A7,Q01668-3
CALM3,CACNA1D,P0DP25,Q01668-3
CALM3,CACNA1D,Q96HY3,A0A1B0GTP8
CALM3,CACNA1D,E7ETZ0,A0A1B0GTP8
CALM3,CACNA1D,H0Y7A7,A0A1B0GTP8
CALM3,CACNA1D,P0DP25,A0A1B0GTP8
CALM3,CACNA1D,Q96HY3,A0A1B0GTN0
CALM3,CACNA1D,E7ETZ0,A0A1B0GTN0
CALM3,CACNA1D,H0Y7A7,A0A1B0GTN0
CALM3,CACNA1D,P0DP25,A0A1B0GTN0
CALM3,CACNA1C,Q96HY3,F5H522
CALM3,CACNA1C,E7ETZ0,F5H522
CALM3,CACNA1C,H0Y7A7,F5H522
CALM3,CACNA1C,P0DP25,F5H522
CALM3,KCNH1,Q96HY3,O95259-2
CALM3,KCNH1,E7ETZ0,O95259-2
CALM3,KCNH1,H0Y7A7,O95259-2
CALM3,KCNH1,P0DP25,O95259-2
CALM3,KCNH1,Q96HY3,O95259
CALM3,KCNH1,E7ETZ0,O95259
CALM3,KCNH1,H0Y7A7,O95259
CALM3,KCNH1,P0DP25,O95259
CALM3,KCNH1,Q96HY3,A0A1W2PNI2
CALM3,KCNH1,E7ETZ0,A0A1W2PNI2
CALM3,KCNH1,H0Y7A7,A0A1W2PNI2
CALM3,KCNH1,P0DP25,A0A1W2PNI2
CALM3,KCNH1,Q96HY3,A0A1X7SBS6
CALM3,KCNH1,E7ETZ0,A0A1X7SBS6
CALM3,KCNH1,H0Y7A7,A0A1X7SBS6
CALM3,KCNH1,P0DP25,A0A1X7SBS6
CALM3,AC092017.3,Q96HY3,A0A1W2PPV4
CALM3,AC092017.3,E7ETZ0,A0A1W2PPV4
CALM3,AC092017.3,H0Y7A7,A0A1W2PPV4
CALM3,AC092017.3,P0DP25,A0A1W2PPV4
CALM3,TRPV5,Q96HY3,A0A0A6YY98
CALM3,TRPV5,E7ETZ0,A0A0A6YY98
CALM3,TRPV5,P0DP25,A0A0A6YY98
CALM3,TRPV5,Q96HY3,H7C2J6
CALM3,TRPV5,E7ETZ0,H7C2J6
CALM3,TRPV5,P0DP25,H7C2J6
CALM3,NOS2,Q96HY3,A0A2R8YDS4
