Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000250479,CHCHD10,ENSG00000100075,SLC25A1,-,-,1.0,PPI
ENSG00000250479,CHCHD10,ENSG00000250479,CHCHD10,-,-,1.0,PPI
ENSG00000100320,RBFOX2,ENSG00000100320,RBFOX2,PF00076-PF00076,-,1.0,PPI-DDI
ENSG00000100014,SPECC1L,ENSG00000100379,KCTD17,-,-,1.0,PPI
ENSG00000099942,CRKL,ENSG00000186716,BCR,PF00017-PF00168 ; PF00017-PF00620 ; PF00017-PF00621 ; PF07653-PF00621 ; PF00018-PF00168 ; PF00018-PF00620 ; PF00018-PF00621,-,1.0,PPI-DDI
ENSG00000100393,EP300,ENSG00000128272,ATF4,PF00439-PF00170,-,1.0,PPI-DDI
ENSG00000100393,EP300,ENSG00000100393,EP300,PF00569-PF00569 ; PF00569-PF00439 ; PF00439-PF00569 ; PF00439-PF00439 ; PF00439-PF06001 ; PF06001-PF00439,-,1.0,PPI-DDI
ENSG00000100393,EP300,ENSG00000100297,MCM5,-,-,1.0,PPI
ENSG00000128271,ADORA2A,ENSG00000128271,ADORA2A,PF00001-PF00001,-,1.0,PPI-DDI
ENSG00000100012,SEC14L3,ENSG00000133488,SEC14L4,PF00650-PF00650,-,1.0,PPI-DDI
ENSG00000100426,ZBED4,ENSG00000100426,ZBED4,PF05699-PF05699,-,1.0,PPI-DDI
ENSG00000184436,THAP7,ENSG00000184436,THAP7,-,-,1.0,PPI
ENSG00000077942,FBLN1,ENSG00000077942,FBLN1,PF01821-PF01821 ; PF07645-PF07645,-,1.0,PPI-DDI
ENSG00000100387,RBX1,ENSG00000100379,KCTD17,-,-,1.0,PPI
ENSG00000100387,RBX1,ENSG00000100387,RBX1,PF12678-PF12678,-,1.0,PPI-DDI
ENSG00000286070,GGT1,ENSG00000286070,GGT1,PF01019-PF01019,-,1.0,PPI-DDI
ENSG00000100029,PES1,ENSG00000100029,PES1,PF16589-PF16589 ; PF16589-PF06732 ; PF06732-PF16589,-,1.0,PPI-DDI
ENSG00000100292,HMOX1,ENSG00000100292,HMOX1,PF01126-PF01126,-,1.0,PPI-DDI
ENSG00000015475,BID,ENSG00000015475,BID,-,-,1.0,PPI
ENSG00000196236,XPNPEP3,ENSG00000196236,XPNPEP3,PF05195-PF05195 ; PF05195-PF00557 ; PF00557-PF05195 ; PF00557-PF00557,-,1.0,PPI-DDI
ENSG00000128272,ATF4,ENSG00000128272,ATF4,PF00170-PF00170,-,1.0,PPI-DDI
ENSG00000099949,LZTR1,ENSG00000183773,AIFM3,-,-,1.0,PPI
ENSG00000099949,LZTR1,ENSG00000099949,LZTR1,PF01344-PF01344 ; PF01344-PF13418 ; PF00651-PF00651 ; PF13418-PF01344 ; PF13418-PF13418,-,1.0,PPI-DDI
ENSG00000100376,FAM118A,ENSG00000100376,FAM118A,-,-,1.0,PPI
ENSG00000100335,MIEF1,ENSG00000100335,MIEF1,PF03281-PF03281,-,1.0,PPI-DDI
ENSG00000100379,KCTD17,ENSG00000100379,KCTD17,PF02214-PF02214,-,1.0,PPI-DDI
