Protein 1,Protein 1 name,Protein 2,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
9129,PRPF3,9129,PRPF3,PF06544-PF06544 ; PF06544-PF08572 ; PF01480-PF01480 ; PF08572-PF06544,-,1.0,PPI-DDI
115362,GBP5,115362,GBP5,PF02263-PF02263 ; PF02263-PF02841 ; PF02841-PF02263 ; PF02841-PF02841,-,1.0,PPI-DDI
5320,PLA2G2A,5320,PLA2G2A,PF00068-PF00068,-,1.0,PPI-DDI
223,ALDH9A1,127733,UBXN10,-,-,1.0,PPI
388646,GBP7,2634,GBP2,PF02263-PF02841 ; PF02263-PF02263 ; PF02841-PF02841 ; PF02841-PF02263,-,1.0,PPI-DDI
57463,AMIGO1,57463,AMIGO1,PF13855-PF13855 ; PF13855-PF07679 ; PF07679-PF13855 ; PF07679-PF07679,-,1.0,PPI-DDI
3104,ZBTB48,3104,ZBTB48,PF00651-PF00651 ; PF00651-PF00096 ; PF00096-PF00651 ; PF00096-PF00096,-,1.0,PPI-DDI
25893,TRIM58,25893,TRIM58,PF00643-PF00643 ; PF00643-PF15227 ; PF00622-PF00622 ; PF00622-PF13765 ; PF13765-PF00622 ; PF13765-PF13765 ; PF15227-PF00643,-,1.0,PPI-DDI
57823,SLAMF7,57823,SLAMF7,PF07686-PF07686,-,1.0,PPI-DDI
10877,CFHR4,10877,CFHR4,PF00084-PF00084,-,1.0,PPI-DDI
5686,PSMA5,5686,PSMA5,PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF00227 ; PF10584-PF10584,-,1.0,PPI-DDI
