Selected Protein variant,Protein name,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
LRP1-204,MAPK8IP1,9479,,PF00058-PF00640,100.0,Lost
LRP1-204,SERPINE1,5054,PF14670-PF00079,,0.0,Retained
LRP1-204,NOS1AP,9722,,PF00640-PF00058,100.0,Lost
LRP1-204,APBA2,321,,PF00058-PF00640,100.0,Lost
LRP1-204,ANKS1B,56899,,PF00640-PF00058,100.0,Lost
LRP1-204,PLAT,5327,PF00008-PF00057 ; PF00008-PF14670 ; PF00057-PF00089 ; PF14670-PF00089,PF00008-PF00058 ; PF00008-PF07645 ; PF00089-PF07645,43.0,Affected
LRP1-204,APBB1,322,,PF00640-PF00058,100.0,Lost
LRP1-204,A2M,2,PF00057-PF07703,,0.0,Retained
LRP1-204,LRPAP1,4043,PF00057-PF06400 ; PF00057-PF06401,,0.0,Retained
LRP1-204,THBS1,7057,PF00057-PF00090,PF02412-PF07645,50.0,Affected
LRP1-204,CUBN,8029,PF00057-PF00431 ; PF00057-PF00008 ; PF14670-PF00431 ; PF14670-PF07645 ; PF14670-PF00008,PF12947-PF07645 ; PF00058-PF07645 ; PF00058-PF00008 ; PF00431-PF07645 ; PF07645-PF07645 ; PF07645-PF00008,55.00000000000001,Affected
LRP1-204,DAB1,1600,,PF00640-PF00058,100.0,Lost
LRP1-204,F9,2158,PF00057-PF14670 ; PF00057-PF00089 ; PF00057-PF00008 ; PF00089-PF14670 ; PF14670-PF14670 ; PF14670-PF00008,PF00089-PF07645 ; PF14670-PF00058 ; PF14670-PF07645 ; PF00058-PF00008 ; PF07645-PF00008,45.0,Affected
LRP1-204,MAPK8IP2,23542,,PF00058-PF00640,100.0,Lost
LRP1-204,GULP1,51454,,PF00640-PF00058,100.0,Lost
LRP1-204,LOXL2,4017,PF00057-PF00530,,0.0,Retained
LRP1-204,SHC1,6464,,PF00058-PF00640,100.0,Lost
LRP1-204,DAB2,1601,,PF00640-PF00058,100.0,Lost
LRP1-204,MMP14,4323,,PF00058-PF00045,100.0,Lost
